danceability,energy,speechiness,acousticness,instrumentalness,liveness,genre
0.714,0.438,0.203,0.779,0.00739,0.0979,Hip Hop
0.847,0.743,0.101,0.644,0.0767,0.121,Hip Hop
0.834,0.713,0.25,0.203,0.0,0.075,Hip Hop
0.816,0.775,0.234,0.16,0.00031,0.0543,Hip Hop
0.78,0.575,0.273,0.43,0.0,0.143,Hip Hop
0.6,0.706,0.361,0.209,0.0,0.125,Hip Hop
0.665,0.91,0.223,0.0394,0.0,0.227,Hip Hop
0.712,0.772,0.346,0.0521,4.35e-06,0.0368,Hip Hop
0.798,0.744,0.136,0.33,0.000106,0.292,Hip Hop
0.872,0.723,0.247,0.0293,0.0,0.327,Hip Hop
0.889,0.818,0.253,0.47,0.0,0.179,Hip Hop
0.862,0.648,0.251,0.0455,0.0,0.0332,Hip Hop
0.734,0.735,0.065,0.000813,3.25e-05,0.559,Hip Hop
0.614,0.543,0.374,0.00776,3.28e-05,0.383,Hip Hop
0.802,0.755,0.0564,0.0215,0.0,0.295,Hip Hop
0.638,0.523,0.357,0.00454,0.0,0.0842,Hip Hop
0.916,0.844,0.236,0.0394,0.0,0.0778,Hip Hop
0.589,0.827,0.384,0.0143,0.00151,0.14,Hip Hop
0.924,0.74,0.0774,0.0827,0.0,0.163,Hip Hop
0.769,0.818,0.192,0.263,0.0,0.0787,Hip Hop
0.78,0.768,0.238,0.0371,2.34e-06,0.518,Hip Hop
0.879,0.564,0.247,0.0474,9.43e-06,0.0519,Hip Hop
0.575,0.927,0.395,0.0383,0.0,0.0623,Hip Hop
0.704,0.873,0.144,0.121,5.12e-06,0.24,Hip Hop
0.794,0.614,0.0467,0.0964,0.0,0.0788,Hip Hop
0.686,0.735,0.264,0.00921,0.00066,0.342,Hip Hop
0.534,0.671,0.195,0.0504,0.0,0.362,Hip Hop
0.603,0.762,0.285,0.0953,1.53e-05,0.478,Hip Hop
0.683,0.59,0.458,0.326,0.0,0.148,Hip Hop
0.678,0.794,0.14,0.274,1.68e-06,0.124,Hip Hop
0.837,0.364,0.276,0.149,0.0,0.271,Hip Hop
0.754,0.631,0.307,0.552,0.0,0.5,Hip Hop
0.908,0.758,0.174,0.0687,0.0,0.0783,Hip Hop
0.795,0.852,0.178,0.0442,3.47e-06,0.39,Hip Hop
0.489,0.692,0.41,0.0322,0.00608,0.315,Hip Hop
0.888,0.632,0.219,0.19,0.0,0.101,Hip Hop
0.934,0.735,0.251,0.031,8.6e-06,0.107,Hip Hop
0.845,0.884,0.0759,0.0128,2.1e-06,0.203,Hip Hop
0.874,0.63,0.298,0.0578,0.00479,0.0582,Hip Hop
0.876,0.573,0.431,0.294,0.0,0.121,Hip Hop
0.538,0.675,0.335,0.245,0.0,0.362,Hip Hop
0.808,0.745,0.342,0.145,0.0,0.292,Hip Hop
0.69,0.729,0.221,1.7e-05,0.0431,0.152,Hip Hop
0.814,0.481,0.245,0.097,3.83e-05,0.0495,Hip Hop
0.748,0.705,0.485,0.204,0.0,0.246,Hip Hop
0.869,0.697,0.187,0.00838,0.0,0.297,Hip Hop
0.849,0.904,0.138,0.0248,5.11e-05,0.0545,Hip Hop
0.786,0.635,0.321,0.094,0.0,0.0771,Hip Hop
0.729,0.581,0.18,0.0777,3.81e-06,0.696,Hip Hop
0.785,0.871,0.265,0.144,0.0,0.309,Hip Hop
0.434,0.126,0.0363,0.967,0.755,0.11,Jazz
0.406,0.165,0.0344,0.913,0.922,0.116,Jazz
0.51,0.189,0.0341,0.972,0.928,0.1,Jazz
0.481,0.188,0.04,0.979,0.935,0.104,Jazz
0.458,0.19,0.0362,0.955,0.947,0.156,Jazz
0.496,0.125,0.0362,0.978,0.917,0.0948,Jazz
0.361,0.185,0.0357,0.92,0.955,0.119,Jazz
0.415,0.148,0.0355,0.988,0.958,0.129,Jazz
0.255,0.0745,0.0395,0.863,0.128,0.133,Jazz
0.421,0.0971,0.0335,0.969,0.631,0.121,Jazz
0.402,0.205,0.038,0.939,0.894,0.372,Jazz
0.348,0.159,0.0339,0.978,0.973,0.112,Jazz
0.434,0.195,0.0278,0.97,0.848,0.36,Jazz
0.454,0.144,0.0396,0.966,0.895,0.247,Jazz
0.485,0.138,0.0313,0.866,0.541,0.0885,Jazz
0.64,0.188,0.0432,0.962,0.918,0.148,Jazz
0.499,0.225,0.0306,0.937,0.896,0.118,Jazz
0.565,0.239,0.0418,0.96,0.894,0.149,Jazz
0.487,0.163,0.0324,0.962,0.891,0.0962,Jazz
0.45,0.209,0.0393,0.965,0.604,0.112,Jazz
0.653,0.153,0.0519,0.979,0.814,0.135,Jazz
0.46,0.162,0.0365,0.971,0.896,0.127,Jazz
0.548,0.188,0.0334,0.964,0.849,0.116,Jazz
0.508,0.126,0.0422,0.947,0.902,0.366,Jazz
0.477,0.142,0.0365,0.955,0.671,0.104,Jazz
0.22,0.188,0.036,0.958,0.945,0.106,Jazz
0.382,0.184,0.0323,0.888,0.551,0.117,Jazz
0.454,0.142,0.0381,0.956,0.502,0.0969,Jazz
0.446,0.175,0.0317,0.964,0.849,0.0953,Jazz
0.582,0.123,0.0364,0.928,0.589,0.121,Jazz
0.504,0.261,0.0303,0.966,0.625,0.101,Jazz
0.381,0.0957,0.0324,0.968,0.891,0.119,Jazz
0.514,0.138,0.036,0.971,0.937,0.123,Jazz
0.492,0.206,0.0305,0.97,0.816,0.0959,Jazz
0.468,0.0508,0.0329,0.814,0.0413,0.113,Jazz
0.629,0.152,0.04,0.967,0.904,0.109,Jazz
0.466,0.124,0.0337,0.948,0.882,0.107,Jazz
0.538,0.14,0.0393,0.937,0.893,0.324,Jazz
